hotel,arrival_date_year,arrival_date_month,arrival_date_day_of_month,adults,children,babies,customer_type,is_canceled,lead_time
Resort Hotel,2015,July,3,2,0,0,Transient,True,101
Resort Hotel,2015,July,3,3,0,0,Transient,True,51
Resort Hotel,2015,July,3,2,0,0,Transient,False,72
Resort Hotel,2015,July,3,3,0,0,Transient,False,81
Resort Hotel,2015,July,3,2,0,0,Contract,False,99
Resort Hotel,2015,July,3,2,0,0,Contract,True,368
Resort Hotel,2015,July,3,2,0,0,Contract,False,364
Resort Hotel,2015,July,3,2,0,0,Transient,True,81
Resort Hotel,2015,July,3,2,0,0,Contract,False,99
Resort Hotel,2015,July,3,2,0,0,Contract,False,324
Resort Hotel,2015,July,3,2,0,0,Transient,False,69
Resort Hotel,2015,July,3,2,1,0,Transient,True,79
Resort Hotel,2015,July,3,2,0,0,Transient,False,109
Resort Hotel,2015,July,3,2,0,0,Transient,True,109
Resort Hotel,2015,July,3,2,0,0,Transient,True,72
Resort Hotel,2015,July,3,2,0,0,Transient,True,63
Resort Hotel,2015,July,3,3,0,0,Transient,False,63
Resort Hotel,2015,July,3,2,1,0,Transient,False,101
Resort Hotel,2015,July,3,2,0,0,Transient,False,102
Resort Hotel,2015,July,4,2,0,0,Transient,False,98
Resort Hotel,2015,July,4,1,2,0,Transient,False,92
Resort Hotel,2015,July,4,2,0,0,Transient,False,95
Resort Hotel,2015,July,4,2,0,0,Transient,False,102
Resort Hotel,2015,July,4,3,0,0,Transient,True,73
Resort Hotel,2015,July,4,2,0,0,Transient,True,102
Resort Hotel,2015,July,4,2,0,0,Transient,False,115
Resort Hotel,2015,July,4,2,0,1,Transient,False,102
Resort Hotel,2015,July,4,2,0,0,Transient,False,86
Resort Hotel,2015,July,4,2,0,1,Transient,False,78
Resort Hotel,2015,July,4,2,0,0,Transient,False,52
Resort Hotel,2015,July,4,2,0,0,Transient,True,101
Resort Hotel,2015,July,4,2,0,0,Transient,False,109
Resort Hotel,2015,July,4,2,0,0,Contract,False,92
Resort Hotel,2015,July,4,2,0,0,Contract,False,92
Resort Hotel,2015,July,4,2,1,0,Transient,False,79
Resort Hotel,2015,July,4,1,0,0,Transient,True,51
Resort Hotel,2015,July,4,2,0,0,Transient,True,73
Resort Hotel,2015,July,4,2,0,0,Transient-Party,False,100
Resort Hotel,2015,July,4,2,0,0,Transient-Party,False,100
Resort Hotel,2015,July,4,2,0,0,Transient-Party,False,100
Resort Hotel,2015,July,5,2,0,0,Transient,False,80
Resort Hotel,2015,July,5,2,0,0,Transient,False,97
Resort Hotel,2015,July,5,2,1,0,Transient,False,109
Resort Hotel,2015,July,5,2,0,0,Transient,False,64
Resort Hotel,2015,July,5,2,0,0,Transient,False,90
Resort Hotel,2015,July,5,2,0,0,Transient,True,93
Resort Hotel,2015,July,5,2,2,0,Transient,False,97
Resort Hotel,2015,July,5,2,0,0,Transient,True,101
Resort Hotel,2015,July,5,2,0,0,Transient,False,82
Resort Hotel,2015,July,5,3,0,0,Transient,False,94
Resort Hotel,2015,July,5,2,0,0,Contract,False,110
Resort Hotel,2015,July,5,1,0,0,Contract,False,96
Resort Hotel,2015,July,5,2,0,0,Contract,False,79
Resort Hotel,2015,July,6,2,2,0,Transient,False,115
Resort Hotel,2015,July,6,2,0,0,Transient,False,111
Resort Hotel,2015,July,6,2,0,0,Transient,False,51
Resort Hotel,2015,July,6,3,0,0,Transient,False,94
Resort Hotel,2015,July,6,2,2,0,Transient,False,81
Resort Hotel,2015,July,6,2,0,1,Transient,False,84
Resort Hotel,2015,July,6,3,0,0,Transient,False,51
Resort Hotel,2015,July,6,2,0,0,Transient,False,111
Resort Hotel,2015,July,6,2,0,0,Transient,False,98
Resort Hotel,2015,July,6,2,0,0,Transient,False,95
Resort Hotel,2015,July,6,2,0,0,Transient,False,66
Resort Hotel,2015,July,6,2,0,0,Transient,False,104
Resort Hotel,2015,July,6,2,0,0,Transient,False,98
Resort Hotel,2015,July,6,2,0,0,Transient,False,104
Resort Hotel,2015,July,6,2,2,0,Transient,False,68
Resort Hotel,2015,July,6,1,0,0,Transient,True,86
Resort Hotel,2015,July,6,2,0,0,Contract,False,258
Resort Hotel,2015,July,6,2,0,0,Transient,False,111
Resort Hotel,2015,July,6,2,0,0,Transient,True,94
Resort Hotel,2015,July,6,2,0,0,Transient,False,112
Resort Hotel,2015,July,6,2,0,0,Transient,False,100
Resort Hotel,2015,July,6,2,0,0,Contract,False,97
Resort Hotel,2015,July,6,1,0,0,Transient,False,80
Resort Hotel,2015,July,6,2,0,0,Contract,False,90
Resort Hotel,2015,July,6,2,0,0,Contract,False,111
Resort Hotel,2015,July,6,2,0,0,Transient,False,65
Resort Hotel,2015,July,7,2,0,0,Transient,True,67
Resort Hotel,2015,July,7,2,0,0,Transient,False,55
Resort Hotel,2015,July,7,2,0,0,Transient,False,66
Resort Hotel,2015,July,7,3,0,0,Transient,False,88
Resort Hotel,2015,July,7,2,0,0,Transient,True,88
Resort Hotel,2015,July,7,2,0,0,Transient,False,54
Resort Hotel,2015,July,7,2,0,0,Contract,True,292
Resort Hotel,2015,July,7,2,0,0,Contract,False,112
Resort Hotel,2015,July,8,2,0,0,Transient,False,68
Resort Hotel,2015,July,8,2,0,0,Transient,True,113
Resort Hotel,2015,July,8,2,0,0,Transient,False,83
Resort Hotel,2015,July,8,2,0,0,Transient,True,105
Resort Hotel,2015,July,8,2,0,0,Transient,True,102
Resort Hotel,2015,July,8,2,0,0,Transient,False,113
Resort Hotel,2015,July,8,2,1,0,Contract,True,280
Resort Hotel,2015,July,8,2,0,0,Transient,False,96
Resort Hotel,2015,July,8,2,0,0,Contract,False,394
Resort Hotel,2015,July,8,3,0,0,Transient,False,82
Resort Hotel,2015,July,8,3,0,0,Transient-Party,False,100
Resort Hotel,2015,July,8,2,0,0,Transient-Party,False,100
Resort Hotel,2015,July,9,3,0,0,Transient,False,68
Resort Hotel,2015,July,9,2,0,0,Transient,True,77
Resort Hotel,2015,July,9,2,0,1,Transient,False,78
Resort Hotel,2015,July,9,2,0,0,Transient,True,103
Resort Hotel,2015,July,9,2,0,0,Transient,False,77
Resort Hotel,2015,July,9,2,0,0,Transient,False,90
Resort Hotel,2015,July,9,2,0,0,Contract,False,90
Resort Hotel,2015,July,9,2,0,0,Contract,False,90
Resort Hotel,2015,July,9,2,0,0,Contract,False,366
Resort Hotel,2015,July,9,2,0,0,Transient,False,249
Resort Hotel,2015,July,9,2,0,0,Transient,True,69
Resort Hotel,2015,July,10,2,0,0,Transient,False,91
Resort Hotel,2015,July,10,2,0,0,Transient,False,108
Resort Hotel,2015,July,10,2,0,0,Transient,False,91
Resort Hotel,2015,July,10,2,0,0,Transient,False,106
Resort Hotel,2015,July,10,2,0,0,Transient,True,51
Resort Hotel,2015,July,10,2,0,0,Transient,False,79
Resort Hotel,2015,July,10,2,0,0,Transient,False,78
Resort Hotel,2015,July,10,2,0,0,Transient,False,78
Resort Hotel,2015,July,10,2,0,0,Transient,False,78
Resort Hotel,2015,July,10,2,1,1,Transient,False,87
Resort Hotel,2015,July,10,2,0,0,Transient,False,115
Resort Hotel,2015,July,10,2,0,0,Transient,False,86
Resort Hotel,2015,July,11,2,1,0,Transient,True,100
Resort Hotel,2015,July,11,2,0,1,Transient,False,304
Resort Hotel,2015,July,11,3,0,0,Transient,False,117
Resort Hotel,2015,July,11,2,0,0,Transient,False,70
Resort Hotel,2015,July,11,2,0,0,Transient,False,110
Resort Hotel,2015,July,11,2,0,0,Transient,True,109
Resort Hotel,2015,July,11,2,0,0,Transient,False,84
Resort Hotel,2015,July,11,2,0,0,Transient,False,71
Resort Hotel,2015,July,11,2,0,0,Transient,False,54
Resort Hotel,2015,July,11,2,0,0,Transient,True,59
Resort Hotel,2015,July,11,2,2,0,Transient,False,79
Resort Hotel,2015,July,11,2,0,0,Transient,False,110
Resort Hotel,2015,July,12,2,2,0,Transient,False,53
Resort Hotel,2015,July,12,2,0,0,Transient,True,72
Resort Hotel,2015,July,12,2,0,0,Transient-Party,False,90
Resort Hotel,2015,July,12,3,1,0,Transient,True,58
Resort Hotel,2015,July,12,2,0,0,Contract,False,59
Resort Hotel,2015,July,12,2,0,1,Transient-Party,False,90
Resort Hotel,2015,July,12,2,0,0,Contract,False,116
Resort Hotel,2015,July,12,2,0,0,Transient,True,51
Resort Hotel,2015,July,12,2,0,0,Transient,False,59
Resort Hotel,2015,July,12,2,0,0,Transient,True,97
Resort Hotel,2015,July,12,2,0,0,Transient,False,64
Resort Hotel,2015,July,12,2,0,0,Contract,False,59
Resort Hotel,2015,July,12,2,10,0,Contract,True,55
Resort Hotel,2015,July,12,2,0,0,Transient,False,81
Resort Hotel,2015,July,12,2,0,0,Contract,False,88
Resort Hotel,2015,July,12,2,0,0,Transient,False,97
Resort Hotel,2015,July,12,2,0,1,Transient,False,60
Resort Hotel,2015,July,12,2,2,0,Transient,False,100
Resort Hotel,2015,July,12,2,0,0,Contract,False,50
Resort Hotel,2015,July,13,2,0,1,Transient-Party,False,115
Resort Hotel,2015,July,13,2,0,0,Transient,True,79
Resort Hotel,2015,July,13,2,0,0,Transient,False,91
Resort Hotel,2015,July,13,2,0,0,Transient-Party,False,98
Resort Hotel,2015,July,13,2,0,0,Transient,False,109
Resort Hotel,2015,July,13,2,0,0,Transient-Party,False,98
Resort Hotel,2015,July,13,2,0,0,Transient,False,62
Resort Hotel,2015,July,13,2,0,0,Transient,False,54
Resort Hotel,2015,July,13,2,0,0,Transient,False,51
Resort Hotel,2015,July,13,2,0,0,Transient,False,54
Resort Hotel,2015,July,13,2,0,0,Transient,False,58
Resort Hotel,2015,July,13,2,0,0,Transient,True,60
Resort Hotel,2015,July,13,2,0,0,Transient,True,321
Resort Hotel,2015,July,13,2,0,0,Contract,True,51
Resort Hotel,2015,July,13,2,0,0,Transient,True,75
Resort Hotel,2015,July,13,2,0,0,Transient,False,101
Resort Hotel,2015,July,13,3,0,0,Transient,False,109
Resort Hotel,2015,July,13,2,0,0,Transient,True,81
Resort Hotel,2015,July,13,2,0,0,Transient,True,98
Resort Hotel,2015,July,13,2,0,0,Transient,False,72
Resort Hotel,2015,July,13,2,0,0,Transient-Party,False,115
Resort Hotel,2015,July,13,2,0,0,Transient,False,118
Resort Hotel,2015,July,13,2,1,0,Transient,False,81
Resort Hotel,2015,July,13,2,0,0,Transient,True,95
Resort Hotel,2015,July,13,2,0,0,Transient,False,56
Resort Hotel,2015,July,13,2,0,0,Contract,False,88
Resort Hotel,2015,July,14,2,0,0,Transient,True,76
Resort Hotel,2015,July,14,2,0,0,Transient,False,76
Resort Hotel,2015,July,14,2,0,0,Transient-Party,False,73
Resort Hotel,2015,July,14,2,1,0,Transient-Party,False,73
Resort Hotel,2015,July,14,2,2,0,Transient,False,317
Resort Hotel,2015,July,14,1,0,0,Transient,True,112
Resort Hotel,2015,July,14,2,0,0,Transient,True,96
Resort Hotel,2015,July,14,2,0,0,Transient,True,96
Resort Hotel,2015,July,14,2,0,0,Transient,False,99
Resort Hotel,2015,July,14,2,0,0,Transient,False,66
Resort Hotel,2015,July,14,3,0,0,Transient,False,113
Resort Hotel,2015,July,15,2,0,0,Transient,True,62
Resort Hotel,2015,July,15,2,0,0,Transient,True,58
Resort Hotel,2015,July,15,2,0,0,Transient-Party,False,57
Resort Hotel,2015,July,15,2,0,0,Transient-Party,False,57
Resort Hotel,2015,July,15,2,0,0,Transient-Party,False,57
Resort Hotel,2015,July,15,2,0,0,Transient-Party,False,57
Resort Hotel,2015,July,15,2,0,0,Transient,False,57
Resort Hotel,2015,July,15,2,2,0,Transient,False,83
Resort Hotel,2015,July,15,2,0,0,Transient,False,57
Resort Hotel,2015,July,15,1,0,0,Transient-Party,False,57
Resort Hotel,2015,July,15,2,0,0,Transient-Party,True,57
Resort Hotel,2015,July,15,2,0,0,Transient-Party,False,57
Resort Hotel,2015,July,15,3,0,0,Transient-Party,False,57
Resort Hotel,2015,July,15,1,0,0,Transient-Party,False,57
Resort Hotel,2015,July,15,2,0,0,Transient,False,57
Resort Hotel,2015,July,15,2,0,0,Transient,False,57
Resort Hotel,2015,July,15,3,0,0,Transient-Party,False,57
Resort Hotel,2015,July,15,1,0,0,Transient-Party,False,57
Resort Hotel,2015,July,15,2,0,0,Transient-Party,False,57
Resort Hotel,2015,July,15,2,0,0,Transient,False,57
Resort Hotel,2015,July,15,2,0,0,Transient,False,57
Resort Hotel,2015,July,15,2,0,0,Transient-Party,False,57
Resort Hotel,2015,July,15,2,0,0,Transient-Party,False,57
Resort Hotel,2015,July,16,2,2,0,Transient,True,66
Resort Hotel,2015,July,16,2,0,0,Transient,False,50
Resort Hotel,2015,July,16,2,0,0,Transient,True,66
Resort Hotel,2015,July,16,2,0,0,Transient,False,66
Resort Hotel,2015,July,16,2,0,0,Transient,True,58
Resort Hotel,2015,July,16,2,0,0,Transient,False,63
Resort Hotel,2015,July,16,2,0,0,Transient,False,113
Resort Hotel,2015,July,16,2,0,0,Contract,False,68
Resort Hotel,2015,July,16,2,0,0,Transient,False,113
Resort Hotel,2015,July,17,2,0,0,Transient-Party,False,53
Resort Hotel,2015,July,17,2,1,0,Transient-Party,False,53
Resort Hotel,2015,July,17,2,0,0,Transient,False,94
Resort Hotel,2015,July,17,1,0,0,Transient-Party,False,64
Resort Hotel,2015,July,17,2,0,0,Transient-Party,False,53
Resort Hotel,2015,July,17,1,0,0,Transient-Party,False,53
Resort Hotel,2015,July,17,1,0,0,Transient-Party,False,64
Resort Hotel,2015,July,17,2,0,0,Transient-Party,False,53
Resort Hotel,2015,July,17,2,0,0,Transient,False,53
Resort Hotel,2015,July,17,2,0,0,Transient,False,90
Resort Hotel,2015,July,17,2,0,0,Transient,False,79
Resort Hotel,2015,July,17,2,0,0,Transient,False,90
Resort Hotel,2015,July,17,2,0,0,Transient,False,65
Resort Hotel,2015,July,17,2,0,0,Transient,False,65
Resort Hotel,2015,July,17,3,0,0,Transient,False,99
Resort Hotel,2015,July,17,2,0,0,Transient,False,92
Resort Hotel,2015,July,17,2,1,0,Transient,False,91
Resort Hotel,2015,July,17,2,0,0,Transient,False,315
Resort Hotel,2015,July,17,2,1,0,Transient,False,91
Resort Hotel,2015,July,18,2,1,0,Transient,False,108
Resort Hotel,2015,July,18,2,0,0,Transient,False,64
Resort Hotel,2015,July,18,2,0,0,Transient,True,96
Resort Hotel,2015,July,18,2,0,1,Transient,True,123
Resort Hotel,2015,July,18,2,0,0,Contract,False,59
Resort Hotel,2015,July,18,2,1,1,Transient,False,106
Resort Hotel,2015,July,18,2,1,0,Transient,False,73
Resort Hotel,2015,July,18,2,0,0,Transient,False,95
Resort Hotel,2015,July,18,2,0,0,Transient,False,94
Resort Hotel,2015,July,18,2,0,0,Transient,False,64
Resort Hotel,2015,July,18,2,0,0,Transient,False,64
Resort Hotel,2015,July,18,2,0,0,Transient,False,94
Resort Hotel,2015,July,18,2,0,0,Transient,False,57
Resort Hotel,2015,July,18,2,0,0,Transient,True,60
Resort Hotel,2015,July,18,2,0,0,Transient,False,57
Resort Hotel,2015,July,18,2,0,0,Transient,False,87
Resort Hotel,2015,July,19,2,0,0,Transient,True,59
Resort Hotel,2015,July,19,2,0,0,Transient,False,66
Resort Hotel,2015,July,19,2,0,0,Transient,True,62
Resort Hotel,2015,July,19,2,0,0,Transient,True,60
Resort Hotel,2015,July,19,2,0,0,Contract,False,104
Resort Hotel,2015,July,19,2,0,0,Transient,True,62
Resort Hotel,2015,July,19,2,0,0,Transient,False,117
Resort Hotel,2015,July,19,2,0,0,Transient,True,104
Resort Hotel,2015,July,19,2,0,0,Contract,False,104
Resort Hotel,2015,July,19,2,0,1,Transient,False,123
Resort Hotel,2015,July,20,2,2,0,Transient,True,118
Resort Hotel,2015,July,20,2,0,1,Transient,False,79
Resort Hotel,2015,July,20,2,0,0,Transient,False,63
Resort Hotel,2015,July,20,2,0,0,Transient,False,68
Resort Hotel,2015,July,20,2,0,0,Transient,False,96
Resort Hotel,2015,July,20,2,2,0,Transient,True,60
Resort Hotel,2015,July,20,2,0,0,Transient,True,69
Resort Hotel,2015,July,20,2,0,0,Transient,False,52
Resort Hotel,2015,July,20,2,0,0,Transient,False,89
Resort Hotel,2015,July,20,2,2,0,Transient,False,65
Resort Hotel,2015,July,20,2,0,1,Transient,False,82
Resort Hotel,2015,July,20,2,0,0,Transient,False,62
Resort Hotel,2015,July,20,2,1,0,Transient,True,86
Resort Hotel,2015,July,20,2,0,0,Transient,True,118
Resort Hotel,2015,July,20,2,0,0,Transient,True,52
Resort Hotel,2015,July,21,2,0,0,Transient,True,81
Resort Hotel,2015,July,21,2,2,0,Transient,True,63
Resort Hotel,2015,July,21,2,0,0,Transient,False,61
Resort Hotel,2015,July,21,3,0,0,Transient,False,89
Resort Hotel,2015,July,21,2,0,0,Transient,False,57
Resort Hotel,2015,July,21,3,0,0,Transient,False,102
Resort Hotel,2015,July,21,2,0,0,Transient,False,108
Resort Hotel,2015,July,22,2,0,0,Transient,True,96
Resort Hotel,2015,July,23,2,0,0,Transient,False,73
Resort Hotel,2015,July,23,1,0,0,Transient,True,55
Resort Hotel,2015,July,23,2,0,0,Transient,True,55
Resort Hotel,2015,July,23,2,0,0,Transient,False,117
Resort Hotel,2015,July,23,2,0,0,Transient,True,72
Resort Hotel,2015,July,24,2,0,0,Transient,True,67
Resort Hotel,2015,July,24,2,0,0,Transient,True,105
Resort Hotel,2015,July,24,2,0,0,Transient,True,67
Resort Hotel,2015,July,24,2,0,0,Transient,True,53
Resort Hotel,2015,July,24,2,0,0,Transient-Party,False,55
Resort Hotel,2015,July,24,2,0,0,Transient-Party,False,55
Resort Hotel,2015,July,24,2,0,0,Transient,True,109
Resort Hotel,2015,July,24,2,2,0,Transient,True,62
Resort Hotel,2015,July,24,3,0,0,Contract,True,312
Resort Hotel,2015,July,25,2,0,0,Transient,False,51
Resort Hotel,2015,July,25,2,0,0,Transient,False,67
Resort Hotel,2015,July,25,2,0,0,Transient,False,52
Resort Hotel,2015,July,25,2,0,0,Transient,False,94
Resort Hotel,2015,July,25,2,0,0,Transient,True,54
Resort Hotel,2015,July,25,2,0,0,Transient,True,87
Resort Hotel,2015,July,25,2,0,0,Transient,False,54
Resort Hotel,2015,July,25,2,0,0,Transient,True,96
Resort Hotel,2015,July,25,2,0,0,Transient,True,100
Resort Hotel,2015,July,25,2,0,0,Transient,False,54
Resort Hotel,2015,July,25,2,0,0,Transient,False,75
Resort Hotel,2015,July,25,3,0,0,Transient,False,61
Resort Hotel,2015,July,25,2,0,0,Transient,False,60
Resort Hotel,2015,July,25,1,0,0,Transient,True,107
Resort Hotel,2015,July,25,2,0,0,Transient,False,115
Resort Hotel,2015,July,25,2,0,0,Contract,False,59
Resort Hotel,2015,July,25,2,0,0,Contract,True,85
Resort Hotel,2015,July,25,2,1,0,Transient,True,299
Resort Hotel,2015,July,25,3,0,0,Transient,False,50
Resort Hotel,2015,July,25,2,0,0,Transient,True,50
Resort Hotel,2015,July,26,2,0,0,Transient,True,88
Resort Hotel,2015,July,26,2,0,0,Transient,True,116
Resort Hotel,2015,July,26,2,1,0,Transient,True,54
Resort Hotel,2015,July,26,3,0,0,Transient,False,73
Resort Hotel,2015,July,26,2,1,0,Transient,True,54
Resort Hotel,2015,July,26,2,0,0,Transient,False,130
Resort Hotel,2015,July,27,2,0,0,Transient,False,59
Resort Hotel,2015,July,27,2,0,0,Transient,False,96
Resort Hotel,2015,July,27,2,0,0,Transient,False,51
Resort Hotel,2015,July,27,2,0,0,Transient,False,96
Resort Hotel,2015,July,27,2,1,0,Transient,False,52
Resort Hotel,2015,July,27,2,0,0,Transient,True,74
Resort Hotel,2015,July,27,2,0,0,Transient,True,87
Resort Hotel,2015,July,27,2,0,0,Transient,False,77
Resort Hotel,2015,July,27,3,0,0,Transient,True,298
Resort Hotel,2015,July,27,2,0,0,Transient,True,101
Resort Hotel,2015,July,27,2,0,0,Transient,True,101
Resort Hotel,2015,July,27,2,0,0,Transient,True,101
Resort Hotel,2015,July,27,2,0,0,Transient,True,101
Resort Hotel,2015,July,27,2,0,0,Transient,False,76
Resort Hotel,2015,July,28,2,1,0,Transient,False,70
Resort Hotel,2015,July,28,2,1,0,Transient,False,70
Resort Hotel,2015,July,28,2,0,0,Transient,False,68
Resort Hotel,2015,July,28,2,2,0,Transient,True,63
Resort Hotel,2015,July,28,2,0,0,Transient,False,50
Resort Hotel,2015,July,28,2,0,0,Contract,True,70
Resort Hotel,2015,July,28,2,0,0,Transient,False,110
Resort Hotel,2015,July,29,2,0,0,Transient,True,119
Resort Hotel,2015,July,29,2,0,0,Transient,False,71
Resort Hotel,2015,July,29,2,0,0,Transient,False,97
Resort Hotel,2015,July,29,2,0,0,Transient,True,71
Resort Hotel,2015,July,29,2,0,0,Transient,True,118
Resort Hotel,2015,July,29,2,0,0,Transient,False,102
Resort Hotel,2015,July,29,2,0,0,Transient,True,54
Resort Hotel,2015,July,29,2,0,0,Transient,True,58
Resort Hotel,2015,July,29,2,0,0,Transient,True,105
Resort Hotel,2015,July,30,2,0,0,Transient,True,66
Resort Hotel,2015,July,30,2,2,0,Transient,False,52
Resort Hotel,2015,July,30,2,0,0,Transient,True,62
Resort Hotel,2015,July,30,2,0,0,Transient,True,65
Resort Hotel,2015,July,30,2,0,0,Transient,True,64
Resort Hotel,2015,July,30,2,0,0,Transient,False,77
Resort Hotel,2015,July,30,2,0,0,Transient-Party,False,75
Resort Hotel,2015,July,30,2,0,0,Transient-Party,False,75
Resort Hotel,2015,July,30,2,0,0,Transient,True,62
Resort Hotel,2015,July,31,2,0,0,Transient,True,83
Resort Hotel,2015,July,31,2,0,0,Transient,True,56
Resort Hotel,2015,July,31,1,0,0,Transient,False,286
Resort Hotel,2015,July,31,2,2,0,Transient,False,72
Resort Hotel,2015,July,31,2,0,0,Transient,True,136
Resort Hotel,2015,July,31,1,0,0,Transient,False,58
Resort Hotel,2015,July,31,2,0,0,Transient,False,80
Resort Hotel,2015,July,31,2,0,0,Contract,False,113
Resort Hotel,2015,August,1,2,0,0,Transient,False,129
Resort Hotel,2015,August,1,2,0,0,Transient-Party,True,84
Resort Hotel,2015,August,1,2,0,0,Transient-Party,True,84
Resort Hotel,2015,August,1,2,0,0,Transient,True,89
Resort Hotel,2015,August,1,2,0,0,Transient,True,80
Resort Hotel,2015,August,1,2,0,0,Transient,True,124
Resort Hotel,2015,August,1,2,2,0,Transient,True,74
Resort Hotel,2015,August,1,2,2,0,Transient,True,82
Resort Hotel,2015,August,1,2,0,0,Transient,True,91
Resort Hotel,2015,August,1,2,0,0,Transient,True,77
Resort Hotel,2015,August,1,2,0,0,Transient,True,130
Resort Hotel,2015,August,1,2,1,0,Transient,True,91
Resort Hotel,2015,August,1,3,0,0,Transient,False,79
Resort Hotel,2015,August,1,2,0,0,Transient,True,130
Resort Hotel,2015,August,1,2,0,0,Transient,False,66
Resort Hotel,2015,August,1,2,0,0,Transient,True,53
Resort Hotel,2015,August,1,2,2,0,Transient,True,80
Resort Hotel,2015,August,1,2,1,0,Transient,True,77
Resort Hotel,2015,August,1,2,2,0,Transient,True,57
Resort Hotel,2015,August,2,3,0,0,Transient,False,115
Resort Hotel,2015,August,2,2,1,0,Transient,False,95
Resort Hotel,2015,August,2,2,0,0,Transient,False,67
Resort Hotel,2015,August,2,2,0,0,Transient,False,60
Resort Hotel,2015,August,2,2,0,0,Transient,False,78
Resort Hotel,2015,August,2,2,0,0,Transient,False,93
Resort Hotel,2015,August,2,2,0,0,Contract,True,327
Resort Hotel,2015,August,3,2,0,0,Contract,True,81
Resort Hotel,2015,August,3,2,0,0,Transient,True,52
Resort Hotel,2015,August,3,2,0,0,Transient,False,83
Resort Hotel,2015,August,3,2,0,1,Transient,True,131
Resort Hotel,2015,August,3,1,0,0,Contract,False,460
Resort Hotel,2015,August,3,2,0,0,Transient,True,82
Resort Hotel,2015,August,3,2,0,0,Transient,True,61
Resort Hotel,2015,August,4,2,0,0,Transient,False,94
Resort Hotel,2015,August,4,2,0,0,Transient,True,61
Resort Hotel,2015,August,4,2,0,0,Transient-Party,False,140
Resort Hotel,2015,August,4,2,0,0,Transient-Party,False,140
Resort Hotel,2015,August,4,2,0,0,Transient,False,81
Resort Hotel,2015,August,5,2,0,0,Transient,False,65
Resort Hotel,2015,August,5,2,0,0,Transient,True,114
Resort Hotel,2015,August,5,2,0,0,Transient,True,111
Resort Hotel,2015,August,5,2,0,0,Transient,False,139
Resort Hotel,2015,August,5,2,0,0,Transient,True,57
Resort Hotel,2015,August,5,3,0,0,Transient,False,139
Resort Hotel,2015,August,5,2,0,1,Transient,False,84
Resort Hotel,2015,August,5,2,0,0,Transient,True,117
Resort Hotel,2015,August,6,1,0,0,Transient,True,69
Resort Hotel,2015,August,6,2,0,0,Transient,True,118
Resort Hotel,2015,August,6,2,0,0,Transient-Party,False,129
Resort Hotel,2015,August,6,2,0,0,Transient,False,52
Resort Hotel,2015,August,6,2,0,0,Transient,False,65
Resort Hotel,2015,August,6,2,0,0,Transient,False,87
Resort Hotel,2015,August,6,2,0,0,Transient,False,51
Resort Hotel,2015,August,6,3,1,0,Transient,False,136
Resort Hotel,2015,August,7,2,0,0,Transient,True,53
Resort Hotel,2015,August,7,2,0,0,Transient,False,52
Resort Hotel,2015,August,7,2,0,0,Transient,False,98
Resort Hotel,2015,August,7,2,0,0,Transient,True,122
Resort Hotel,2015,August,7,2,0,0,Transient-Party,False,83
Resort Hotel,2015,August,7,2,2,0,Transient,True,73
Resort Hotel,2015,August,7,2,1,1,Transient,False,116
Resort Hotel,2015,August,7,2,0,0,Transient-Party,True,113
Resort Hotel,2015,August,7,2,0,0,Transient-Party,True,113
